1994group.ac.uk, The 1994 Group
liv-e.ac.uk, The University of Liverpool
liv.ac.uk, University of Liverpool
live.ac.uk, Royal Veterinary College
livenet.ac.uk, Livenet
liverpool.ac.uk, The University of Liverpool
liverpoolsas.ac.uk, Liverpool John Moores University
livesandletters.ac.uk, "Queen Mary and Westfield College,  University of London"
livewell.ac.uk, University of Newcastle upon Tyne
livhope.ac.uk, Liverpool Hope University
livjm.ac.uk, Liverpool John Moores University
ljmu.ac.uk, Liverpool John Moores University
lkl.ac.uk, Birkbeck College
llambed.ac.uk, University of Wales Trinity Saint David
llandrillo.ac.uk, Coleg Llandrillo
llas.ac.uk, University of Southampton
llwr.ac.uk, Welsh Assembly Government
llysfasi.ac.uk, Coleg Llysfasi
lmbru.ac.uk, University of Leeds
lmc.ac.uk, Lancaster and Morecambe College
lmd.ac.uk, The Leadership & Management Development Consortium
lmi4he.ac.uk, Labour Market Intelligence for HE
lms.ac.uk, London Mathematical Society
lmu.ac.uk, Leeds Metropolitan University
lnat.ac.uk, University of Birmingham
loa.ac.uk, London Open Academy
lockssalliance.ac.uk, University of Edinburgh
logic.ac.uk, Logic Language Academy
lolo.ac.uk, University College London
lon.ac.uk, University of London
london-college.ac.uk, London College of Further Education
london-fashion.ac.uk, London College of Fashion
london-guildhall.ac.uk, London Guildhall University
london-pgmde.ac.uk, The Deanery for Postgraduate Medicine within London
london.ac.uk, University of London
londonaimhigher.ac.uk, London Aimhigher
londonbiblecollege.ac.uk, London School of Theology
londonbusinessschool.ac.uk, London Business School
londoncentre-hstm.ac.uk, University College London
londondeanery.ac.uk, London Deanery
londoneastcove.ac.uk, Havering College of Further and Higher Education
londonexternal.ac.uk, University of London
londonhigher.ac.uk, London Higher
londoninternational.ac.uk, University of London
londonknowledgelab.ac.uk, London Knowledge Lab
londonlinks.ac.uk, London Library & Information Development Unit- TPMDE
londonmedicine.ac.uk, London Higher
londonmet.ac.uk, London Metropolitan University
londonmetro.ac.uk, London Metropolitan University
londonmetropolitan.ac.uk, London Metropolitan University
londonmetropolitanuniversity.ac.uk, London Metropolitan University
londonmetuniversity.ac.uk, London Metropolitan University
londonp4p.ac.uk, London Higher
londonreach.ac.uk, "Institute of Education,  University of London"
londonschooloftheology.ac.uk, London School of Theology
longeaton.ac.uk, Derby College
longley-park.ac.uk, Longley Park Sixth Form College
longley-parksfc.ac.uk, Longley Park Sixth Form College
longleypark.ac.uk, Longley Park Sixth Form College
longleyparkcollege.ac.uk, Longley Park Sixth Form College
longleyparksfc.ac.uk, Longley Park Sixth Form College
longleyparksixthformcollege.ac.uk, Longley Park Sixth Form College
longroad.ac.uk, Long Road Sixth Form College
lonklab.ac.uk, London Knowledge Lab
lonmet.ac.uk, London Metropolitan University
lonmetro.ac.uk, London Metropolitan University
lonmt.ac.uk, London Metropolitan University
lonoco.ac.uk, London North Consortium
loreto.ac.uk, Loreto Sixth Form College
lothiancolleges.ac.uk, Stevenson College Edinburgh
lou.ac.uk, Loughborough College
loucoll.ac.uk, Loughborough College
loughborough.ac.uk, Loughborough University
loughry.ac.uk, Department of Agriculture and Rural Development
lowestoft.ac.uk, Lowestoft College
lowestoftsfc.ac.uk, Lowestoft Sixth Form College
lowestoftsixthformcollege.ac.uk, Lowestoft Sixth Form College
lpac.ac.uk, "Queen Mary and Westfield College,  University of London"
lpc.ac.uk, London Pain Consortium
lsbu.ac.uk, London South Bank University
lsc.ac.uk, The Learning and Skills Council
lscs.ac.uk, University of Dundee
lse-departments.ac.uk, London School of Economics
lse-events.ac.uk, London School of Economics
lse-global.ac.uk, London School of Economics and Political Science
lse-marketing.ac.uk, London School of Economics
lse-nursery.ac.uk, London School of Economics and Political Science
lse-research.ac.uk, London School of Economics
lse-residences.ac.uk, London School of Economics and Political Science
lse-sport.ac.uk, London School of Economics and Political Science
lse-students.ac.uk, London School of Economics and Political Science
lse.ac.uk, London School of Economics and Political Science
lseapplicants.ac.uk, London School of Economics
lsejournals.ac.uk, London School of Economics
lsestaff.ac.uk, London School of Economics
lsfc.ac.uk, Leicester College
lshtm.ac.uk, London School of Hygiene and Tropical Medicine
lsjs.ac.uk, London School of Jewish Studies
lsm.ac.uk, London School of Management
lso.ac.uk, London School of Osteopathy
lsrc.ac.uk, Learning and Skills Network
lsse.ac.uk, Leicester Square School of English
lst.ac.uk, London School of Theology
lstmliverpool.ac.uk, The Liverpool School of Tropical Medicine
ltcc.ac.uk, London Taught Course Centre
ltea.ac.uk, The University of Manchester
ltscotland.ac.uk, Learning & Teaching Scotland
ltsn-01.ac.uk, University of Newcastle upon Tyne
ltsn.ac.uk, The Higher Education Academy
ltsneng.ac.uk, Loughborough University
ludlow-college.ac.uk, Ludlow College
lufton-college-fe.ac.uk, Lufton Manor College
luftoncollege.ac.uk, Royal Mencap Society
lupc.ac.uk, Procureweb
lut.ac.uk, Loughborough University
luton-acl.ac.uk, Central Bedfordshire Council
luton.ac.uk, University of Bedfordshire
lutonacl.ac.uk, Central Bedfordshire Council
lutonsfc.ac.uk, Luton Sixth Form College
lwms.ac.uk, University of Warwick
lww-cetl.ac.uk, School of Oriental and African Studies
m25lib.ac.uk, London School of Economics and Political Science
mablethorpe.ac.uk, Boston College
macaulay.ac.uk, The Macaulay Land Use Research Institute
macclesfield-college.ac.uk, UNKNOWN via DNS upload
macclesfield.ac.uk, Macclesfield College
mackworth-college.ac.uk, Derby College
mackworth.ac.uk, Derby College
maes.ac.uk, Middlesbrough Borough Council
magic.ac.uk, Management of Access to Grey Literature Collections- Cranfield University
mahsc.ac.uk, The Manchester Academic Health Science Centre
mailtalk.ac.uk, Science and Technology Facilities Council
makingassessmentcount.ac.uk, University of Westminster
malvern.ac.uk, South Worcestershire College
man.ac.uk, The University of Manchester
managementcontrolassociation.ac.uk, The University of Reading
managementresearcher.ac.uk, British Academy of Management Ltd
mancat.ac.uk, The Manchester College
manchester-business-school.ac.uk, Manchester Business School
manchester-city-coll.ac.uk, City College Manchester
manchester-computing-centre.ac.uk, The University of Manchester
manchester-metropolitan-university.ac.uk, Manchester Metropolitan University
manchester-worldwide.ac.uk, The University of Manchester
manchester.ac.uk, The University of Manchester
manchestermethod.ac.uk, The University of Manchester
manchesternti.ac.uk, The Manchester College
mantais.ac.uk, University of Wales Trinity Saint David
manufacturingedc.ac.uk, University of Nottingham
mappingtheunderworld.ac.uk, University of Birmingham
mappingwales.ac.uk, Funding Council Project for Mapping Resources in Wales
marble.ac.uk, MARBLE Project
marchmont.ac.uk, University of Exeter
maremap.ac.uk, Natural Environment Research Council
marjon.ac.uk, University College Plymouth St Mark & St John
marlab.ac.uk, Scottish Government
marlin.ac.uk, Marine Life Information Network
maryvale.ac.uk, Maryvale Institute
maryward.ac.uk, The Mary Ward Centre
marywardcentre.ac.uk, Mary Ward Settlement
masc25.ac.uk, University College London
masts.ac.uk, University of St Andrews
match.ac.uk, University of Ulster
materials.ac.uk, Loughborough University
mathcentre.ac.uk, Loughborough University
mathematics.ac.uk, Engineering - Mathematics and Computing Hub
mathfit.ac.uk, Engineering & Physical Sciences Research Council- Mathematics for IT Initiative
mathgate.ac.uk, Gateway to Engineering Mathematics Resources on the Internet
mathscentre.ac.uk, Loughborough University
mathstore.ac.uk, School of Mathematics & Statistics
mathtutor.ac.uk, Loughborough University
matthew-boulton.ac.uk, Birmingham Metropolitan College
matu.ac.uk, Higher Education Funding Council for England
mau.ac.uk, JISC Monitoring & Advisory Unit
maximize.ac.uk, Edge Hill University
maxwell.ac.uk, Heriot-Watt University
mba.ac.uk, Marine Biological Association
mbc.ac.uk, Birmingham Metropolitan College
mbn.ac.uk, University of Dundee
mbro.ac.uk, Middlesbrough College
mbs-worldwide.ac.uk, The University of Manchester
mbs.ac.uk, The University of Manchester
mca.ac.uk, Merseyside Colleges' Association
mcc.ac.uk, The University of Manchester
mcsw.ac.uk, Materials Centre South West
mctimoney-college.ac.uk, McTimoney College of Chiropractic
mdx.ac.uk, Middlesex University
medev.ac.uk, University of Newcastle upon Tyne
medhist.ac.uk, The University of Manchester
mediahub.ac.uk, Higher Education Funding Council for England
medicine.ac.uk, The Medicine Section of the RDN
medievalchester.ac.uk, King's College London
medievalfrancophone.ac.uk, King's College London
medschools.ac.uk, Medical Schools Council
medway.ac.uk, University of Kent at Medway
medwayacl.ac.uk, Medway Council
megs.ac.uk, University of Nottingham
meirion-dwyfor.ac.uk, Coleg Meirion-Dwyfor
menai.ac.uk, Coleg Menai
mendel.ac.uk, The Mendel Database
merc.ac.uk, The University of Manchester
merlin.ac.uk, The University of Manchester
merops.ac.uk, Wellcome Trust Sanger Institute
merristwood.ac.uk, Guildford College of Further and Higher Education
merseyandwestlancslln.ac.uk, Edge Hill University
merthyr.ac.uk, University of Glamorgan
merton-acl.ac.uk, London Borough of Merton
merton-adult-college.ac.uk, London Borough of Merton
merton-adult-education.ac.uk, London Borough of Merton
merton.ac.uk, South Thames College
mertonadulteducation.ac.uk, London Borough of Merton
metabolomics.ac.uk, The University of Manchester
metanoia.ac.uk, Metanoia Institute
methnet.ac.uk, King's College London
methodsnetwork.ac.uk, King's College London
methodsnorthwest.ac.uk, The University of Manchester
mfcrg.ac.uk, "University of the West of England,  Bristol"
mfo.ac.uk, La Maison Francais
mhie.ac.uk, Moray House Institute Edinburgh
mhrn.ac.uk, The University of Manchester
mib.ac.uk, The University of Manchester
microgravity.ac.uk, RAL - Space Science and Technology Department
micron.ac.uk, Microbes in Norwich
mid-career-college.ac.uk, Mid Career College
midastrial.ac.uk, The University of Manchester
midbible.ac.uk, Kings Evangelical Divinity School
midchesh.ac.uk, Mid-Cheshire College
middlesbro.ac.uk, Middlesbrough College
middlesex.ac.uk, Middlesex University
midessextc.ac.uk, Otley College of Agriculture and Horticulture
midfife.ac.uk, Glenrothes College
midhurst.ac.uk, Midhurst Outcentre for Chichester College
midkent.ac.uk, Mid-Kent College of Higher and Further Education
midlandsenergyconsortium.ac.uk, Loughborough University
midlandsphysicsalliance.ac.uk, University of Nottingham
midrib.ac.uk, MIDRIB Project (eLib)
millionplus.ac.uk, Million Plus
mimas.ac.uk, The University of Manchester
mineofinfo.ac.uk, University of Wales- Swansea - RSLP Mine of Information
minerva.ac.uk, The Open University
mirandanet.ac.uk, Mirandanet Academy
mirror.ac.uk, Higher Education Funding Council for England
missendenabbey.ac.uk, Missenden Abbey
mist.ac.uk, Royal Astronomical Society
mkcollege.ac.uk, Milton Keynes College
mlab.ac.uk, UNKNOWN via DNS upload
mlestudy.ac.uk, University of Brighton
mluri.ac.uk, The Macaulay Landuse Research Institue
mmu.ac.uk, Manchester Metropolitan University
mmubs.ac.uk, Manchester Metropolitan University
mnc.ac.uk, Royal Mencap Society
modip.ac.uk, Museum of Design in Plastics
modmedmicro.ac.uk, University of Oxford
mol.ac.uk, University of Wolverhampton
mole.ac.uk, Daresbury Laboratory
mollnet.ac.uk, Myerscough College
monash.ac.uk, Monash University Centre
monkwear.ac.uk, City of Sunderland College
monogram.ac.uk, Scottish Crop Research Institute
moorlands.ac.uk, Moorlands College
moray.ac.uk, Moray College
moredun.ac.uk, Moredun Research Institute
morgannwg.ac.uk, Coleg Morgannwg
morleycollege.ac.uk, Morley College Limited
morse.ac.uk, Kingston University
motherwell.ac.uk, Motherwell College
moulton.ac.uk, Moulton College
mountcollyer.ac.uk, Mountcollyer Technology Centre
move.ac.uk, University of Hertfordshire
moveonmoveup.ac.uk, Harrow College
movinghistory.ac.uk, University of Brighton
mpa-uk.ac.uk, The University of Manchester
mpa.ac.uk, University of Birmingham
mpags.ac.uk, University of Nottingham
mpsi.ac.uk, Science and Technology Facilities Council
mpw.ac.uk, Mander Portman Woodward Sixth Form College
mrc.ac.uk, Medical Research Council
mrcp.ac.uk, Membership of the Royal College of Physicians
mri.ac.uk, Music Research Institute
msa.ac.uk, Manchester Metropolitan University
mscos.ac.uk, The Marine Society & Sea Cadets
msec.ac.uk, The University of Manchester
msp.ac.uk, University of Kent
msportknowledge.ac.uk, School of Technology
mtec.ac.uk, The Marine Technology Education Consortium
muarc.ac.uk, University of Nottingham
mucm.ac.uk, University of Sheffield
multiverse.ac.uk, London Metropolitan University
mundus.ac.uk, University of London Computer Centre
murg.ac.uk, University of Sunderland
museumofwriting.ac.uk, King's College London
museumwales.ac.uk, National Museum Wales
musicandphilosophy.ac.uk, Royal Musical Association Music and Philosophy Study Group
musiconline.ac.uk, Music Online Libraries Project
muslimcollege.ac.uk, The Muslim College
muther.ac.uk, King's College London
mwrc.ac.uk, Nazarene Theological College
mycandi.ac.uk, City and Islington College
mycib.ac.uk, University of Nottingham
myerscough.ac.uk, Myerscough College
myport.ac.uk, University of Portsmouth
myrrh.ac.uk, Myrrh Limited
myscience.ac.uk, MyScience.co Limited
mywnsc.ac.uk, Walford and North Shropshire College
na-me.ac.uk, Joint Dept of Naval Architecture & Marine Engineering at Universities of Glasgow & Strathclyde
nacstock.ac.uk, North Area College Stockport
nactem.ac.uk, The University of Manchester
nado.ac.uk, National Association of Disability Officers
naea.ac.uk, National Arts Education Archive
nafc.ac.uk, North Atlantic Fisheries College
nagty.ac.uk, University of Warwick
nahste.ac.uk, RSLP NAHSTE Project
naln.ac.uk, University of the Arts London
nam.ac.uk, The National Army Museum
namhe.ac.uk, National Association for Music in Higher Education
namss.ac.uk, National Association of Managers of Student Services
nanocmos.ac.uk, University of Glasgow
napier.ac.uk, Edinburgh Napier University
narti.ac.uk, University of Leeds
nash.ac.uk, Nash College
natcen.ac.uk, National Centre for Social Research
natcor.ac.uk, University of Lancaster
natdisteam.ac.uk, Edge Hill University
natgalscot.ac.uk, National Galleries of Scotland
national-army-museum.ac.uk, National Army Museam - Chelsea
national-confidential-inquiry.ac.uk, The University of Manchester
national-learning-network.ac.uk, National Learning Network
nationalnetworkforinterpreting.ac.uk, University of Leeds
nationalskillsacademy.ac.uk, Learning and Skills Council
natstar.ac.uk, National Star Centre College of Further Education
naturalhistorymuseum.ac.uk, The Natural History Museum
nature.ac.uk, The Natural World Section of the RDN
nazarene.ac.uk, Nazarene Theological College
nbcol.ac.uk, Northbrook College Sussex
nbe.ac.uk, Geological Survey - Northern Ireland
nbi.ac.uk, Biotechnology and Biological Sciences Research Council
nbolton-sfc.ac.uk, North Bolton Sixth Form College
nbpa.ac.uk, The North British Pain Association
nbs.ac.uk, NERC BAS - Cambridge
nbu.ac.uk, Institute of Terrestrial Ecology
nc3rs.ac.uk, Medical Research Council
nc4m.ac.uk, Tresham Institute
ncas.ac.uk, University of Leeds
ncaveo.ac.uk, University of Southampton
ncb.ac.uk, South East Essex Sixth Form College
ncc.ac.uk, National Consortium of Colleges
ncccs.ac.uk, University of Nottingham
nceo.ac.uk, The University of Reading
ncess.ac.uk, The University of Manchester
ncgc.ac.uk, Royal College of Physicians of London
nchm.ac.uk, Northern Centre for the History of Medicine
ncl-coll.ac.uk, Newcastle College
ncl-lyme.ac.uk, Newcastle-Under-Lyme College
ncl-u-lyme.ac.uk, Newcastle-under-Lyme College
ncl.ac.uk, University of Newcastle upon Tyne
ncn.ac.uk, New College Nottingham
ncp.ac.uk, The National Committee for Philosophy
ncpontefract.ac.uk, "NEW College,  Pontefract"
ncrcl.ac.uk, Roehampton University
ncrm.ac.uk, University of Southampton
ncs.ac.uk, University of Southampton
ncse.ac.uk, King's College London
nct.ac.uk, New College Telford
ncteam.ac.uk, The Higher Education Academy
ncti.ac.uk, National Creative Technology Initiative
ncuk.ac.uk, Northern Consortium
nda.ac.uk, National Design Academy
ndai.ac.uk, South Eastern Regional College
ndevon.ac.uk, Petroc College
ndonline.ac.uk, Notre Dame Sixth Form College
ndtc.ac.uk, North Derbyshire Tertiary College
ne-worcs.ac.uk, North East Worcestershire College
ne-worcscol.ac.uk, North East Worcestershire College
neab.ac.uk, Northern Examinations and Assessment Board
neacc.ac.uk, North East Adult Community College
neath.ac.uk, Neath College of FE
nec-arundel.ac.uk, New England College - Arundel
nec.ac.uk, National Extension College
nei.ac.uk, Northern Regional College
nek.ac.uk, NERC Radiocarbon Laboratory
nelcls.ac.uk, North East Lincolnshire Council
nelson.ac.uk, Nelson and Colne College
nene.ac.uk, The University of Northampton
neodaas.ac.uk, Natural Environment Research Council
neonatalsociety.ac.uk, The Neonatal Society
neptune.ac.uk, University of Sheffield
nerc-arsf.ac.uk, Natural Environment Research Council
nerc-bangor.ac.uk, Natural Environment Research Council
nerc-bas.ac.uk, British Antarctic Survey - Cambridge
nerc-belfast.ac.uk, British Geological Survey - Belfast
nerc-bush.ac.uk, Institute of Terrestrial Ecology - Bush
nerc-cardiff.ac.uk, Natural Environment Research Council
nerc-dorset.ac.uk, NERC Winfrith Heath
nerc-east-kilbride.ac.uk, NERC Radiocarbon Laboratory - East Kilbride
nerc-eskdalemuir.ac.uk, British Geological Survey - Eskdalemuir
nerc-essc.ac.uk, Environmental Systems Science Centre
nerc-gilmerton.ac.uk, Natural Environment Research Council
nerc-hartland.ac.uk, Natural Environment Research Council
nerc-keyworth.ac.uk, British Geological Survey - Keyworth
nerc-lancaster.ac.uk, Natural Environment Research Council
nerc-lerwick.ac.uk, Natural Environment Research Council
nerc-liv.ac.uk, Natural Environment Research Council
nerc-loanhead.ac.uk, NERC BGS Loanhead
nerc-mst-radar.ac.uk, NERC MST Atmospheric Radar Facility
nerc-murchison.ac.uk, Natural Environment Research Council
nerc-oban.ac.uk, Dunstaffnage Marine Laboratory
nerc-oxford.ac.uk, Institute of Virology & Environmental Microbiology
nerc-pml.ac.uk, Plymouth Marine Laboratory
nerc-smru.ac.uk, Sea Mammal Research Unit
nerc-solardome.ac.uk, NERC - ITE Climate Change Solardome Facility
nerc-southampton.ac.uk, Southampton Oceanographic Centre
nerc-swindon.ac.uk, Natural Environment Research Council
nerc-wallingford.ac.uk, Natural Environment Research Council
nerc-wytham.ac.uk, Institute of Terrestrial Ecology - Wytham
nerc.ac.uk, Natural Environment Research Council
neresc.ac.uk, North East Regional e-Science Centre
nesc.ac.uk, University of Edinburgh
nesci.ac.uk, University of Newcastle upon Tyne
nescot.ac.uk, North East Surrey College of Technology
nesi.ac.uk, University of Edinburgh
nesli.ac.uk, The National Electronic Site Licence Initiative
nesli2.ac.uk, The University of Manchester
nest.ac.uk, University of Newcastle upon Tyne
netlab.ac.uk, The JNT Association
netscc.ac.uk, University of Southampton
netskills.ac.uk, University of Newcastle upon Tyne
netwise.ac.uk, Careers Services at UMIST and Manchester
network-training.ac.uk, Network Training
netzwerkdeutsch.ac.uk, The Open University
neurogrid.ac.uk, University of Oxford
neurohub.ac.uk, University of Oxford
new-campus-basildon.ac.uk, South East Essex Sixth Form College
new-coll-cf.ac.uk, New College Cardiff
newark.ac.uk, Lincoln College
newbasildon.ac.uk, South East Essex Sixth Form College
newbattleabbeycollege.ac.uk, Newbattle Abbey College
newbold.ac.uk, Newbold College
newbury-college.ac.uk, Newbury College
newcampusbasildon.ac.uk, South East Essex Sixth Form College
newcampusglasgow.ac.uk, City of Glasgow College
newcastle-college.ac.uk, Newcastle College
newcastle.ac.uk, University of Newcastle upon Tyne
newcastlecollege.ac.uk, Newcastle College
newceys.ac.uk, London Borough of Newham
newcollege.ac.uk, New College Swindon
newcollegedurham.ac.uk, "New College,  Durham"
newcollegeglasgow.ac.uk, City of Glasgow College
newcollegetelford.ac.uk, New College Telford
newcollpont.ac.uk, "NEW College,  Pontefract"
newdur.ac.uk, "New College,  Durham"
newham-vic.ac.uk, Newham VI Form College
newham.ac.uk, Newham College of Further Education
newhamcfe.ac.uk, Newham College of Further Education
newi.ac.uk, Glyndwr University
newman.ac.uk, Newman University College
newphd.ac.uk, University of Newcastle upon Tyne
newport.ac.uk, "University of Wales,  Newport"
newroutephd.ac.uk, University of Newcastle upon Tyne
newry-kilkeel.ac.uk, Southern Regional College
newsfilm.ac.uk, British Universities Film & Video Council
newtec.ac.uk, Newham Training & Education Centre
newton.ac.uk, University of Cambridge
newtonrigg.ac.uk, The University of Cumbria
newvic.ac.uk, Newham Sixth Form College
next-institute.ac.uk, NExT Institute
nfer.ac.uk, National Foundation for Educational Research
nfo.ac.uk, Joint Information Systems Committee
nftsfilm-tv.ac.uk, National Film & Television School
ngacdt.ac.uk, University of Strathclyde
ngfl.ac.uk, Education Bradford
ngflscotland.ac.uk, National Grid for Scotland
ngs.ac.uk, Science and Technology Facilities Council
ngwnet.ac.uk, University of Edinburgh
nhc.ac.uk, North Hertfordshire College
nhcscotland.ac.uk, The North Highland College
nhm.ac.uk, Natural History Museum
niace.ac.uk, National Institute of Adult Continuing Education
nibsc.ac.uk, National Institute for Biological Standards and Control
nicats.ac.uk, Northern Ireland Credit Accumulation & Transfer System
nice.ac.uk, The Foundation for Conductive Education
nicer.ac.uk, Canterbury Christ Church University
nicis.ac.uk, Economic Research Institute of Northern Ireland
niees.ac.uk, University of Cambridge
niesr.ac.uk, National Institute for Economic & Social Research
nightline.ac.uk, National Nightline
nihcc.ac.uk, Northern Ireland Hotel and Catering College
nihr.ac.uk, Department of Health
nihrccf.ac.uk, National Institute for Health Research
niimle.ac.uk, The Queen's University of Belfast
niran.ac.uk, NIRAN Limited
nkifhe.ac.uk, Southern Regional College
nkw.ac.uk, British Geological Survey - Keyworth
nlc.ac.uk, North Lindsey College
nlincs-coll.ac.uk, Lincoln College
nln.ac.uk, The JNT Association
nlow.ac.uk, The National Library of Women
nls.ac.uk, National Library of Scotland
nmahp.ac.uk, Nursing- Midwifery and Allied Health Professions
nmahpresearch-training.ac.uk, "Consortium members within Nursing,  Midwifery and Allied Health Professions Research Training (Scotland)"
nmap.ac.uk, The University of Manchester
nmas.ac.uk, UCAS Limited
nmgm.ac.uk, National Museums and Galleries on Merseyside
nmgw.ac.uk, National Museum Wales
nmh.ac.uk, Natural Environment Research Council
nml.ac.uk, National Museums Liverpool
nmm.ac.uk, National Maritime Museum
nms.ac.uk, National Museums of Scotland
nmsi.ac.uk, National Museum of Science and Industry
nmssc.ac.uk, Swansea University
nnc.ac.uk, North Nottinghamshire College
nnotts-col.ac.uk, North Nottinghamshire College
noc.ac.uk, Natural Environment Research Council
nocn.ac.uk, National Open College Network
nocs.ac.uk, Natural Environment Research Council
noolearning.ac.uk, University of Brighton
norfolkcove.ac.uk, City College Norwich
nortcoll.ac.uk, Norton Radstock College
north-gla.ac.uk, North Glasgow College
north-london.ac.uk, University of North London
north-trafford-college.ac.uk, UNKNOWN via DNS upload
northampton.ac.uk, The University of Northampton
northamptoncollege.ac.uk, Northampton College
northbham.ac.uk, North Birmingham College
northbrook-online.ac.uk, Northbrook College Sussex
northbrook.ac.uk, Northbrook College Sussex
northbrookcollege.ac.uk, Northbrook College - Sussex
northderbycollege.ac.uk, North Derbyshire Tertiary College
northeast.ac.uk, North East (of England) Universities
northern-consortium.ac.uk, The Northern Consortium
northern.ac.uk, Northern College for Residential Adult Education
northernenterpriseschools.ac.uk, The University of Manchester
northerngrid.ac.uk, University of Lancaster
northglasgowcollege.ac.uk, North Glasgow College
northgrid.ac.uk, The University of Manchester
northhighland.ac.uk, The North Highland College
northland.ac.uk, Northumberland College
northlindsey.ac.uk, North Lindsey College
northscotland-research.ac.uk, University of Aberdeen
northsuffolktc.ac.uk, Otley College of Agriculture and Horticulture
northtrafford.ac.uk, Trafford College
northtyneside.ac.uk, North Tyneside College
northumberland-acl.ac.uk, Northumberland County Council
northumberland.ac.uk, Northumberland College
northumbria.ac.uk, University of Northumbria at Newcastle
notredamecoll.ac.uk, Notre Dame Sixth Form College
nott.ac.uk, University of Nottingham
nottingham-trent.ac.uk, Nottingham Trent University
nottingham.ac.uk, University of Nottingham
nottinghamcourses.ac.uk, The University of Nottingham
nottinghameuniversity.ac.uk, The University of Nottingham
nottinghamgraduateschoolofbusiness.ac.uk, The University of Nottingham
nottinghaminnovation.ac.uk, The University of Nottingham
nottinghaminternationalbusinessschool.ac.uk, The University of Nottingham
nottinghamknowledge.ac.uk, The University of Nottingham
nowal.ac.uk, The North West Academic Libraries Group
nox.ac.uk, NERC Oxford
npcrdc.ac.uk, The University of Manchester
nphcardiac-research.ac.uk, Cardiac Research Dept - Northwick Park Hosp & Inst Med Res
npm.ac.uk, Plymouth Marine Laboratory
nptc.ac.uk, Neath Port Talbot College
nrc.ac.uk, Northern Regional College
nrs.ac.uk, Name Registration Service
nsad.ac.uk, Norwich University College of the Arts
nsals.ac.uk, Science and Technology Facilities Council
nsccs.ac.uk, National Service for Computational Chemistry Software
nscd.ac.uk, Northern School of Contemporary Dance
nsm.ac.uk, Scottish Marine Biological Association - Oban
nso.ac.uk, Joint IOS/Southampton Uni - Oceanographic Centre
nspcr.ac.uk, The University of Manchester
nss.ac.uk, New Synchotron Source
nsu.ac.uk, Not Known
nsw.ac.uk, Natural Environment Research Council
ntb.ac.uk, Institute of Terrestrial Ecology - Bangor
ntc.ac.uk, Trafford College
ntec.ac.uk, The University of Manchester
ntfs.ac.uk, The Higher Education Academy
ntidagenham.ac.uk, Loughborough University
ntu.ac.uk, Nottingham Trent University
ntyneside.ac.uk, Tyne Metropolitan College
nuc.ac.uk, Edge Hill University
nuca.ac.uk, Norwich University College of the Arts
nucarts.ac.uk, Norwich University College of the Arts
nuccam.ac.uk, University of Nottingham
nuccat.ac.uk, The Open University
nulc.ac.uk, Newcastle-under-Lyme College
nulcollege.ac.uk, Newcastle-under-Lyme College
nuqmu-2kt.ac.uk, Edinburgh Napier University
nurse.ac.uk, The Nursing Section of the RDN
nurture.ac.uk, Nottingham University Research and Treatment Unit in Reproduction
nw-grid.ac.uk, The University of Manchester
nwcs.ac.uk, Bangor University
nwdtc.ac.uk, The University of Manchester
nwhc.ac.uk, North Warwickshire and Hinckley College
nwi.ac.uk, North West Regional College
nwifhe.ac.uk, North West Regional College
nwkc.ac.uk, North West Kent College of Technology
nwkcollege.ac.uk, North West Kent College
nwkent.ac.uk, North West Kent College
nwl.ac.uk, Institute of Hydrology - Wallingford
nwlcc.ac.uk, North West London College Consortium
nwlts.ac.uk, North West LeicestershireTraining Services
nwman.ac.uk, Bangor University
nwmentoring.ac.uk, The University of Manchester
nwrc.ac.uk, North West Regional College
nwsgc.ac.uk, Science and Technology Facilities Council
nwspm.ac.uk, Bangor University
nwstudentandgraduate.ac.uk, The University of Manchester
nwua.ac.uk, North West Universities Association
nwupc.ac.uk, North Western Universities Purchasing Consortium
nwworkbank.ac.uk, The University of Manchester
nwy.ac.uk, Institute of Terrestrial Ecology - Wytham
nyu.ac.uk, New York University
oaa-anaes.ac.uk, The Obstetric Anaesthetists' Association
oakhill.ac.uk, Oakhill College
oaklands.ac.uk, Oaklands College
oakwoodcourt.ac.uk, Oakwood Court
oasis.ac.uk, University of York
oasiscollege.ac.uk, Oasis College of Higher Education
oasp.ac.uk, Oxford Advanced Studies Programme
oatridge.ac.uk, Oatridge College
obhe.ac.uk, Association of Commonwealth Universities
obs.ac.uk, University of Durham
occ.ac.uk, Oxford and Cherwell Valley College
oceanography.ac.uk, "National Oceanography Centre,  Southampton"
ocfe.ac.uk, Oxford College of Further Education
ochjs.ac.uk, Oxford Centre for Hebrew & Jewish Studies
ocms.ac.uk, Oxford Centre for Mission Studies
ocnkm.ac.uk, Open College Network Kent & Medway
ocvc.ac.uk, Oxford and Cherwell Valley College
oge.ac.uk, University of the Highlands and Islands
ogilvie.ac.uk, Ogilvie Institute
ogsa-dai.ac.uk, University of Edinburgh
ohu.ac.uk, National Primary Care Research Development Centre
oibc.ac.uk, Oxford International Biomedical Centre
oldbury.ac.uk, Sandwell College
oldham-sfc.ac.uk, Oldham Sixth Form College
oldham.ac.uk, The Oldham College
oldvic.ac.uk, Bristol Old Vic Theatre School
olf.ac.uk, The Open Learning Foundation
oli.ac.uk, The Open Learning Institute
omagh.ac.uk, South West College
omaghcollege.ac.uk, South West College
